Title,Price,ImageUrl,ProductUrl,Source,Category
OMD - BAUHAUS STAIRCASE - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/omd-bauhaus-staircase-bang-cassette_f1610e0140d94f9a9747e26a0fbc9b1f_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/omd-bauhaus-staircase-bang-cassette,hangdiathoidai.com,CASSETTE
BÙI LAN HƯƠNG - NỮ THẦN MẶT TRĂNG (MÔNANGEL) - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/bui-lan-huong-nu-than-mat-trang-monangel-bang-cassette_1c4a10ca141d41d9b1f5c592f95f2fa5_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/bui-lan-huong-nu-than-mat-trang-monangel-bang-cassette,hangdiathoidai.com,CASSETTE
"VĂN MAI HƯƠNG, HỨA KIM TUYỀN - MINH TINH - BĂNG CASSETTE","350,000₫",https://product.hstatic.net/1000304920/product/van-mai-huong-hua-kim-tuyen-minh-tinh-bang-cassette_f458c993c97844f49d5091676aaa585f_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/van-mai-huong-hua-kim-tuyen-minh-tinh-bang-cassette,hangdiathoidai.com,CASSETTE
"WEYES BLOOD - AND IN THE DARKNESS, HEARTS AGLOW - BĂNG CASSETTE","430,000₫",https://product.hstatic.net/1000304920/product/weyes-blood-and-in-the-darkness-hearts-aglow-bang-cassette_5475aa8b596d4f6690e12d2dfbd332c4_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/weyes-blood-and-in-the-darkness-hearts-aglow-bang-cassette,hangdiathoidai.com,CASSETTE
LÂN NHÃ - NHIÊN - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/715b362f-89c8-4614-a65c-090d21ed6ded_ff4d7fb72bca4ffeb495008fd56358bc_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/lan-nha-nhien-bang-cassette,hangdiathoidai.com,CASSETTE
"CAROLINE POLACHEK - DESIRE, I WANT TO TURN INTO TO YOU - BĂNG CASSETTE","450,000₫",https://product.hstatic.net/1000304920/product/caroline-polachek-desire-i-want-to-turn-into-to-you-bang-cassette_1_092144d40a4b45c590f07473fc14f894_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/caroline-polachek-desire-i-want-to-turn-into-to-you-bang-cassette,hangdiathoidai.com,CASSETTE
HOÀNG THUỲ LINH - LINK (PLATINUM SILVER VERSION) - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/hoang-thuy-linh-link-bang-cassette_240015f7f6a34e4d92b2778fd76d1580_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/hoang-thuy-linh-link-special-silver-version-bang-cassette,hangdiathoidai.com,CASSETTE
HOÀNG THUỲ LINH - LINK (SPECIAL GOLD VERSION) - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/hoang-thuy-linh-link-bang-cassette_05b8854504cd42e48572b61c4a529365_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/hoang-thuy-linh-link-special-gold-version-bang-cassette,hangdiathoidai.com,CASSETTE
HOÀNG THUỲ LINH - LINK (BURNT ORANGE) - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/hoang-thuy-linh-link-bang-cassette_5dba6cfef3b645c384582e364e5eae2e_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/hoang-thuy-linh-link-burnt-orange-bang-cassette,hangdiathoidai.com,CASSETTE
HOÀNG THUỲ LINH - LINK (RUFOUS RED) - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/hoang-thuy-linh-link-bang-cassette_3925cab0955a421d9067b5040029753d_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/hoang-thuy-linh-link-red-bang-cassette,hangdiathoidai.com,CASSETTE
TRANG - CHỈ CÓ THỂ LÀ ANH (OFFICIAL COVER) - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/trang-chi-co-the-la-anh-bang-cassette_987b0db96a3d4dee855dd8e30af14dd4_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/trang-chi-co-the-la-anh-bang-cassette,hangdiathoidai.com,CASSETTE
TAYLOR SWIFT - SPEAK NOW (TAYLOR'S VERSION) - BĂNG CASSETTE,"800,000₫",https://product.hstatic.net/1000304920/product/taylor-swift-speak-now-taylor-s-version-bang-cassette_9590cdc210214c6bb042f08c9bfba765_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/taylor-swift-speak-now-taylor-s-version-bang-cassette,hangdiathoidai.com,CASSETTE
TÓC TIÊN - CONG - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/toc-tien-cong-bang-cassette_515638c62d434513b33e6f524ef38ad6_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/toc-tien-cong-bang-cassette,hangdiathoidai.com,CASSETTE
DEMI LOVATO - HOLY FVCK - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/demi-lovato-holy-fvck-bang-cassette_6f481cf9769844119ec30922fee0173c_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/demi-lovato-holy-fvck-bang-cassette,hangdiathoidai.com,CASSETTE
LANY - MAMA’S BOY - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/lany-mama-s-boy-bang-cassette_8a3771a6a6064e4eaf770a8311acc328_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/lany-mama-s-boy-bang-cassette,hangdiathoidai.com,CASSETTE
LIZZO - SPECIAL (PURPLE) - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/lizzo-special-purple-bang-cassette_f1d07a2445a14c41852c818c3b0ae5be_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/lizzo-special-purple-bang-cassette,hangdiathoidai.com,CASSETTE
BISHOP BRIGGS - CHAMPION - BĂNG CASSETTE,"250,000₫",https://product.hstatic.net/1000304920/product/bishop-briggs-champion-bang-cassette_45d56e416746435e9dd7277c3505f7af_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/bishop-briggs-champion-bang-cassette,hangdiathoidai.com,CASSETTE
KACEY MUSGRAVES - STAR-CROSSED - BĂNG CASSETTE,"420,000₫",https://product.hstatic.net/1000304920/product/kacey-musgraves-star-crossed-translucent-pink-shell-bang-cassette_7bf47ce56aa141249c651f669db4e7a3_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/kacey-musgraves-star-crossed-bang-cassette,hangdiathoidai.com,CASSETTE
BỨC TƯỜNG - CON ĐƯỜNG KHÔNG TÊN (CASSETTE TAPE) - BĂNG CASSETTE,"350,000₫",https://product.hstatic.net/1000304920/product/buc-tuong-con-duong-khong-ten-cassette-tape-bang-cassette_abc59030f7894bd8a634900833556dfa_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/buc-tuong-con-duong-khong-ten-cassette-tape-bang-cassette,hangdiathoidai.com,CASSETTE
BILLIE EILISH - HAPPIER THAN EVER - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/billie-eilish-happier-than-ever-bang-cassette_6ea763452ca54e1ba0640fabc9709fa6_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/billie-eilish-happier-than-ever-bang-cassette,hangdiathoidai.com,CASSETTE
BRITNEY SPEARS - BRITNEY JEAN (UO EXCLUSIVE) - BĂNG CASSETTE,"500,000₫",https://product.hstatic.net/1000304920/product/britney-spears-britney-jean-uo-exclusive-bang-cassette_5fa6119253cb4d18be030223f5b3122b_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/britney-spears-britney-jean-uo-exclusive-bang-cassette,hangdiathoidai.com,CASSETTE
MELANIE C - MELANIE C - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/melanie-c-melanie-c-bang-cassette_bc40d157d7df4275ba185512ecc73f07_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/melanie-c-melanie-c-bang-cassette,hangdiathoidai.com,CASSETTE
CHELSEA CUTLER - HOW TO BE HUMAN - BĂNG CASSETTE,"390,000₫",https://product.hstatic.net/1000304920/product/chelsea-cutler-how-to-be-human-bang-cassette_ca7d535ade734ab89cc8a31ed44554db_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/chelsea-cutler-how-to-be-human-bang-cassette,hangdiathoidai.com,CASSETTE
THE 1975 - NOTES ON A CONDITIONAL FORM - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/the-1975-notes-on-a-conditional-form-bang-cassette_7a4a453573a3409aac88d9c40a757f6b_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/the-1975-notes-on-a-conditional-form-bang-cassette,hangdiathoidai.com,CASSETTE
BEACH HOUSE - THANK YOU LUCKY STARS - BĂNG CASSETTE,"400,000₫",https://product.hstatic.net/1000304920/product/beach-house-thank-you-lucky-stars-bang-cassette_1b797e31589b4b19a896818879988c80_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/beach-house-thank-you-lucky-stars-bang-cassette,hangdiathoidai.com,CASSETTE
BRITNEY SPEARS - CIRCUS (UO EXCLUSIVE) - BĂNG CASSETTE,"500,000₫",https://product.hstatic.net/1000304920/product/britney-spears-circus-uo-exclusive-bang-cassette_7d16ed25eff142f0938af633a7fef42d_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/britney-spears-circus-uo-exclusive-bang-cassette,hangdiathoidai.com,CASSETTE
PINK/ P!NK– HURTS 2B HUMAN (CASSETTE TAPE) - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/pink-p-nk-hurts-2b-human-cassette-tape-bang-cassette_dbf0d72c5000451983cc49c4b93ecaeb_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/pink-p-nk-hurts-2b-human-cassette-tape-bang-cassette,hangdiathoidai.com,CASSETTE
TAYLOR SWIFT - FEARLESS (TAYLOR'S VERSION) - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/taylor-swift-fearless-taylor-s-version-bang-cassette_tape_da491834b317419f932e0e878df473c3_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/taylor-swift-fearless-taylor-s-version-bang-cassette,hangdiathoidai.com,CASSETTE
BRITNEY SPEARS - IN THE ZONE (UO EXCLUSIVE) - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/britney-spears-in-the-zone-uo-exclusive-bang-cassette_6e70a6bb491e461580ec6217995804f5_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/britney-spears-in-the-zone-uo-exclusive-bang-cassette,hangdiathoidai.com,CASSETTE
BRITNEY SPEARS - BLACKOUT (UO EXCLUSIVE) - BĂNG CASSETTE,"500,000₫",https://product.hstatic.net/1000304920/product/britney_spears_-_blackout__uo_exclusive__-_bang_cassette_d3d64a039df648a8b37faed83ca971d2_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/britney-spears-blackout-uo-exclusive-bang-cassette,hangdiathoidai.com,CASSETTE
LIAM PAYNE - LP1 (UO LIMITED TAPE) - BĂNG CASSETTE,"640,000₫",https://product.hstatic.net/1000304920/product/liam-payne-lp1-limited-cassette-tape_c7abbf042a834e65b0140f8be9712b51_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/liam-payne-lp1-limited-tape-bang-cassette,hangdiathoidai.com,CASSETTE
VARIOUS ARTISTS - CHARLIE'S ANGELS OST (LIMITED TAPE) - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/arlies-angels-original-motion-picture-soundtrack-limited-cassette-tape_2275a65d444d4bd5915b7846fc9d1b64_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/various-artists-charlie-s-angels-limited-cassette-tape-bang-cassette,hangdiathoidai.com,CASSETTE
CIGARETTES AFTER SEX - CRY - BĂNG CASSETTE,"450,000₫",https://product.hstatic.net/1000304920/product/cigarettes-after-sex-cry-casstte-tape_06acf2277be3450db93e50df4218b352_grande.png,https://store.hangdiathoidai.com/collections/bang-cassette/products/cigarettes-after-sex-cry-bang-cassette,hangdiathoidai.com,CASSETTE
METALLICA - ...AND JUSTICE FOR ALL - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/metallica-and-justice-for-all-remastered-cassette_24d9ee5d580b4812bd329f2f79e447aa_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/metallica-and-justice-for-all-bang-cassette,hangdiathoidai.com,CASSETTE
NGUYÊN HÀ - ĐIỀU VÔ LÝ THỨ NHẤT [DELUXE EDITION] (NHỮNG BÀI HÁT CỦA HỒ TIẾN ĐẠT) - BĂNG CASSETTE,"300,000₫",https://product.hstatic.net/1000304920/product/hat-limited-deluxe-edition-nhung-bai-hat-cua-ho-tien-dat-bang-cassette_cbac95a98c3a4c34abe1abe999530b7c_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/nguyen-ha-dieu-vo-ly-thu-nhat-limited-deluxe-edition-nhung-bai-hat-cua-ho-tien-dat-bang-cassette,hangdiathoidai.com,CASSETTE
FLORENCE + THE MACHINE - LUNGS (LIMITED CASSETTE TAPE) - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/florence-the-machine-lungs-cassette-limited-tape_96d6aa4a10344d60a9c5751bbbbe2436_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/florence-the-machine-lungs-limited-cassette-tape-bang-cassette,hangdiathoidai.com,CASSETTE
JONAS BROTHERS - SUCKER (SINGLE) - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/jonas-brothers-sucker-single-bang-cassette_529851c67ec442b28cfeeabc452b9998_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/jonas-brothers-sucker-single-bang-cassette,hangdiathoidai.com,CASSETTE
MADONNA - MADAME X (DELUXE/ BLACK) - BĂNG CASSETTE,"630,000₫",https://product.hstatic.net/1000304920/product/madonna_-_madame_x__deluxe__black__-_bang_cassette_a09f3833cd204852ada15e0b7336c0ba_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/madonna-madame-x-deluxe-black-bang-cassette,hangdiathoidai.com,CASSETTE
NICKI MINAJ - QUEEN - BĂNG CASSETTE,BÁN HẾT,https://product.hstatic.net/1000304920/product/nicki_minaj_queen_limited_cassette_tape_33ddac972ba14496874e55e49c2bf788_grande.jpeg,https://store.hangdiathoidai.com/collections/bang-cassette/products/nicki-minaj-queen-bang-cassette,hangdiathoidai.com,CASSETTE
ĐỨC TUẤN - MỘT NGÀY TA ĐƯỢC YÊU (LIMITED TAPE) - BĂNG CASSETTE,"300,000₫",https://product.hstatic.net/1000304920/product/cassette-duc-tuan-mot-ngay-ta-duoc-yeu-2_3cf2542950d043f3b914c775ba8d4d1d_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/duc-tuan-mot-ngay-ta-duoc-yeu-limited-tape-bang-cassette,hangdiathoidai.com,CASSETTE
JANINE - BEFORE IT'S TOO LATE - BĂNG CASSETTE,"400,000₫",https://product.hstatic.net/1000304920/product/janine_-_before_it_s_too_late_-_bang_cassette_grande.jpg,https://store.hangdiathoidai.com/collections/bang-cassette/products/janine-before-it-s-too-late-bang-cassette,hangdiathoidai.com,CASSETTE
